date,name,value
2011-01-28,Max,38.1
2011-01-28,Min,26.1
2011-01-29,Max,40.4
2011-01-29,Min,23.7
2011-01-30,Max,37.6
2011-01-30,Min,23.7
2011-01-31,Max,28.4
2011-01-31,Min,22.8
2011-02-01,Max,29.8
2011-02-01,Min,17.9
2011-02-02,Max,32.5
2011-02-02,Min,15.8
2011-02-03,Max,35.5
2011-02-03,Min,19.7
2011-02-04,Max,34.4
2011-02-04,Min,22.9
2011-02-05,Max,29.6
2011-02-05,Min,18.4
2011-02-06,Max,30.1
2011-02-06,Min,16
2011-02-07,Max,32.4
2011-02-07,Min,18.3
2011-02-08,Max,33.8
2011-02-08,Min,21.6
2011-02-09,Max,31.1
2011-02-09,Min,20.1
2011-02-10,Max,35.1
2011-02-10,Min,20.9
2011-02-11,Max,32.3
2011-02-11,Min,20.5
2011-02-12,Max,31.7
2011-02-12,Min,19.3
2011-02-13,Max,32.9
2011-02-13,Min,17.9
2011-02-14,Max,34.3
2011-02-14,Min,21.1
2011-02-15,Max,36.3
2011-02-15,Min,22.3
2011-02-16,Max,39
2011-02-16,Min,24.6
2011-02-17,Max,34.4
2011-02-17,Min,21.8
2011-02-18,Max,33.8
2011-02-18,Min,21.4
2011-02-19,Max,34.1
2011-02-19,Min,21.5
2011-02-20,Max,30.3
2011-02-20,Min,21
2011-02-21,Max,36.3
2011-02-21,Min,21.9
2011-02-22,Max,36.2
2011-02-22,Min,21.2
2011-02-23,Max,34.9
2011-02-23,Min,21.4
2011-02-24,Max,35.3
2011-02-24,Min,23.8
2011-02-25,Max,37.5
2011-02-25,Min,24.5
2011-02-26,Max,36.2
2011-02-26,Min,22.9
2011-02-27,Max,37.4
2011-02-27,Min,23.1
2011-02-28,Max,39
2011-02-28,Min,25.3
2011-03-01,Max,34.8
2011-03-01,Min,21.3
2011-03-02,Max,33
2011-03-02,Min,20.7
2011-03-03,Max,34.3
2011-03-03,Min,19.5
2011-03-04,Max,35.1
2011-03-04,Min,20.8
2011-03-05,Max,29
2011-03-05,Min,22.3
2011-03-06,Max,26.6
2011-03-06,Min,17.8
2011-03-07,Max,28
2011-03-07,Min,17.1
2011-03-08,Max,29.7
2011-03-08,Min,15.3
2011-03-09,Max,32.2
2011-03-09,Min,17.7
2011-03-10,Max,32
2011-03-10,Min,17.3
2011-03-11,Max,27.6
2011-03-11,Min,16.7
2011-03-12,Max,27
2011-03-12,Min,16.9
2011-03-13,Max,30.8
2011-03-13,Min,16.2
2011-03-14,Max,34.9
2011-03-14,Min,19.1
2011-03-15,Max,35.4
2011-03-15,Min,22.8
2011-03-16,Max,33.4
2011-03-16,Min,19.4
2011-03-17,Max,32
2011-03-17,Min,20.7
2011-03-18,Max,29.9
2011-03-18,Min,17.6
2011-03-19,Max,28.1
2011-03-19,Min,18.1
2011-03-20,Max,27.8
2011-03-20,Min,16.9
2011-03-21,Max,31.5
2011-03-21,Min,16.7
2011-03-22,Max,32.1
2011-03-22,Min,19.4
2011-03-23,Max,31.2
2011-03-23,Min,19.7
2011-03-24,Max,35.2
2011-03-24,Min,20.6
2011-03-25,Max,36.4
2011-03-25,Min,20.9
2011-03-26,Max,35.1
2011-03-26,Min,20.6
2011-03-27,Max,34.2
2011-03-27,Min,14.1
2011-03-28,Max,33.7
2011-03-28,Min,14.4
2011-03-29,Max,32.9
2011-03-29,Min,18.7
2011-03-30,Max,32.5
2011-03-30,Min,18.5
2011-03-31,Max,31.7
2011-03-31,Min,18.4
2011-04-01,Max,31.1
2011-04-01,Min,18.1
2011-04-02,Max,30.3
2011-04-02,Min,17.1
2011-04-03,Max,31.4
2011-04-03,Min,16.9
2011-04-04,Max,33.6
2011-04-04,Min,14.8
2011-04-05,Max,34.7
2011-04-05,Min,13.1
2011-04-06,Max,30.5
2011-04-06,Min,15.4
2011-04-07,Max,22.4
2011-04-07,Min,14.7
2011-04-08,Max,23.5
2011-04-08,Min,9
2011-04-09,Max,26
2011-04-09,Min,12.3
2011-04-10,Max,29.3
